Account,Date From,Date To,Bag Count,Vendor Name,City,State,Zip code
107,2015-11-01,2015-11-30,735,THAI FARM RESTAURANT,Rockville,MD,20850
803,2014-03-01,2014-04-30,1267,"EJY, INC.",Bethesda,MD,20814
31,2012-06-15,2012-07-12,472,Pet Valu Inc.,,PA,19087
665,2012-01-01,2012-03-31,3407,hunan cafe gaithersburg llc,Gaithersburg,MD,20879
1257,2015-06-01,2015-06-30,961,Roti Restaurants,,IL,60661
1117,2013-10-01,2013-10-31,195,New York Deli & Cafe,Rockville,MD,20852
274,2012-07-01,2012-07-31,99,BEAUTY PLAZA,Rockville,MD,20851
1129,2012-09-01,2012-09-30,3581,Dick's Sporting Goods Inc,,PA,15108
954,2012-03-01,2012-03-31,465,China Master Inc,Rockville,MD,20850
373,2012-04-01,2012-05-31,2639,"North Asiatic, Inc.",,VA,22180
51,2012-02-01,2012-02-29,41818,"HAR WHEATON, INC.",Silver Spring,MD,20902
254,2016-09-01,2016-09-30,1807,Micro Center Sales Corporation,,OH,43026
856,2013-11-28,2014-05-31,5043,king cuisine corporation T/A little far east II chinese restaurant,Damascus,MD,20872
205,2013-10-01,2013-10-31,2737,7-11 #22921A,Silver Spring,MD,20910
251,2012-08-01,2012-08-31,403985,Whole Foods Market Group Inc,,TX,78703
250,2014-08-01,2014-08-31,991,"Advance Stores Company, Incorporated",,VA,24012
248,2013-08-01,2013-08-31,15,"Equinox Bethesda, Inc.",Bethesda,MD,20814
456,2013-01-01,2013-01-31,661,Jen's Corporation,Rockville,MD,20850
419,2014-01-01,2014-01-31,4577,FLAMAS,Silver Spring,MD,20910
533,2016-02-01,2016-02-29,248,"ABY & ASSOCIATES, LTD",Silver Spring,MD,20901
53,2013-05-01,2013-05-31,801,"WAA Rockville, LLC",Rockville,MD,20850
352,2016-05-01,2016-05-31,1376,YINGROUY CORP T/A WAYSIDE FARM MARKET,Silver Spring,MD,20904
793,2013-02-01,2013-03-31,78,EL MARINERO CARRY OUT,Takoma Park,MD,20912
310,2012-06-01,2012-06-30,552,Bombay Breeze International,Gaithersburg,MD,20878
273,2013-10-01,2013-10-31,73,Germantown GT LLC,Germantown,MD,20874
396,2015-11-01,2015-11-30,34288,"Green Castle International, Inc.",Silver Spring,MD,20901
157,2014-03-21,2014-04-20,27721,GLOBAL FOOD INC,Montgomery Village,MD,20886
533,2014-04-01,2014-04-30,185,"ABY & ASSOCIATES, LTD",Silver Spring,MD,20901
683,2015-03-01,2015-04-30,2794,"CHINA PAVILION, INC.",Bethesda,MD,20816
577,2015-03-01,2015-08-31,119,nancy's kitchen of silver spring inc,Silver Spring,MD,20906
595,2012-12-31,2013-03-07,4636,"RRC Enterprises, Inc.",Germantown,MD,20874
554,2016-03-01,2016-03-31,17,"Soma Intimates, LLC",,FL,33966
860,2014-01-01,2014-09-30,2518,Huang Yunfang,Bethesda,MD,20814
217,2012-10-28,2012-11-24,1519,Record Town Inc.,,NY,12203
458,2014-10-01,2014-10-31,735,Peter's Sub Shop,Takoma Park,MD,20912
347,2014-07-01,2014-07-31,1181,Meridian Market and Wine(EMC at Meridian Inc.),Rockville,MD,20852
245,2013-11-03,2013-11-30,939,"Grace Holmes, Inc.",,NY,10003
759,2013-06-01,2013-06-30,137,E&G VENTURES LLC,Rockville,MD,20853
419,2012-07-01,2012-07-31,4707,FLAMAS,Silver Spring,MD,20910
622,2016-08-01,2016-08-31,33,Comfort One Shoes L-34,Rockville,MD,20852
298,2015-11-01,2015-11-30,2961,"Gymboree Retail Stores, Inc.",,CA,94105
23,2013-09-29,2013-10-26,3094,"Rugged Wearhouse, Inc",,WV,26508
121,2012-06-01,2012-06-30,176,"Travel Traders Hotel Stores, Inc",,FL,33126
1129,2014-09-01,2014-09-30,3371,Dick's Sporting Goods Inc,,PA,15108
217,2014-01-05,2014-02-01,1095,Record Town Inc.,,NY,12203
359,2013-06-01,2013-06-30,1858,"Best Buy Stores, LP",,MN,55423
274,2016-02-01,2016-02-29,95,BEAUTY PLAZA,Rockville,MD,20851
871,2013-05-01,2013-05-31,59164,"Dollar Tree Stores, Inc.",,VA,23320
619,2012-02-01,2012-02-29,21,Comfort One Shoes L16 Corporation,Gaithersburg,MD,20878
203,2016-02-01,2016-02-29,21636,"Rite Aid of Maryland, Inc.",,PA,17319
541,2012-01-01,2012-03-31,59,Audubon Naturalist Society,Chevy Chase,MD,20815
850,2013-12-01,2013-12-31,47,Kensington Pharmacy,Kensington,MD,20895
337,2015-03-01,2015-03-31,5,AUSTIN GRILL LLC,,VA,20170
603,2012-04-01,2012-04-30,5298,Angkor Supermarket Inc,Silver Spring,MD,20903
515,2014-04-01,2014-04-30,23,E & C Enterprises MD087,,VA,22192
351,2012-12-01,2012-12-31,4335,"Don Pollo of Bethesda, Inc.",Chevy Chase,MD,20815
98,2013-03-01,2013-03-31,97,"Nakamura, llc",Chevy Chase,MD,20815
646,2015-06-01,2015-06-30,6133,J.M. Hollister LLC,,OH,43054
255,2013-08-01,2013-08-31,501,Luvandy Nara Inc,Gaithersburg,MD,20879
428,2012-03-01,2012-03-31,1259,Rahimi Enterprises Inc T/A Fashion One,,DC,20002
962,2012-12-01,2012-12-31,297,Gold Corner II Inc,Gaithersburg,MD,20879
254,2015-04-01,2015-04-30,2312,Micro Center Sales Corporation,,OH,43026
793,2012-05-01,2012-06-30,402,EL MARINERO CARRY OUT,Takoma Park,MD,20912
177,2015-04-01,2015-04-30,86,greenapple convenience store inc.,Silver Spring,MD,20904
369,2012-01-29,2012-02-25,16491,Weis Markets Inc,,PA,17801
456,2014-09-01,2014-09-30,168,Jen's Corporation,Rockville,MD,20850
559,2012-08-01,2012-08-31,2123,Moby Dick VIII Inv,Germantown,MD,20874
134,2016-07-01,2016-07-31,5785,"Victoria's Secret Stores, LLC",,OH,43218
346,2014-07-01,2014-07-31,184,"Woodmont, Inc.",Rockville,MD,20850
627,2015-05-01,2015-05-31,14,"Thompson Tap Room, LLC",,VA,20170
299,2014-07-12,2014-09-30,3273,jskholding inc (7-eleven),Gaithersburg,MD,20878
402,2016-02-28,2016-04-02,5127,"CHARLOTTE RUSSE, INC",,CA,92121
212,2012-12-14,2012-12-28,1552,M&M Ventures Inc,Gaithersburg,MD,20882
441,2012-01-01,2012-01-31,1415,"Yung Xing International, Inc.",Rockville,MD,20850
28,2014-08-01,2014-08-31,1375,"Hardware City, Inc.",Kensington,MD,20895
1071,2013-05-25,2013-06-25,2269,Fresh MEKs LLC,Clarksburg,MD,20871
1287,2016-06-01,2016-08-31,4518,"mbd sales inc,  7-11 damascus",Germantown,MD,20876
274,2014-08-01,2014-08-31,96,BEAUTY PLAZA,Rockville,MD,20851
652,2012-05-31,2012-08-31,4012,"Occasions of Montgoemry Mall, Inc.",Gaithersburg,MD,20877
713,2012-08-01,2012-08-31,168,DS Metro Inc,Rockville,MD,20850
288,2012-07-01,2012-07-31,656,eastward inc,Rockville,MD,20852
1319,2016-08-01,2016-08-31,87,"Twinbrook Gas Station, LLC",Rockville,MD,20852
582,2014-02-01,2014-02-28,1656,Sterling Inc.,,OH,44333
520,2015-11-01,2016-02-01,3701,AB AND SONS CORPORATION,Rockville,MD,20852
379,2014-02-01,2014-02-28,224,PETER'S GRILL,Rockville,MD,20850
292,2013-03-01,2013-03-31,276,Brey Corp. t/a Hobby Works,Laurel,MD,20707
741,2013-07-01,2013-07-31,2238,"Patchara,Inc",Rockville,MD,20851
1202,2015-05-01,2015-05-31,1475,"Cityburger, Inc.",Chevy Chase,MD,20815
1177,2014-03-01,2014-03-31,626,Sarkar PBUH Corporation,Rockville,MD,20852
121,2016-05-01,2016-05-31,226,"Travel Traders Hotel Stores, Inc",,FL,33126
269,2012-12-01,2012-12-31,3324,"Anthropologie, Inc.",,PA,19112
532,2014-10-01,2014-10-31,29456,"EVERLU FOOD, INC.",Rockville,MD,20852
1244,2015-05-01,2015-06-30,4124,Andrew Bakery LLC,Gaithersburg,MD,20877
461,2012-01-01,2012-02-29,2661,Tiffany and Company,,NJ,7054
540,2012-01-01,2012-03-16,1842,PBE - Carderock,Kensington,MD,20895
522,2015-06-01,2015-06-30,100368,DOS FRIENDS INC.,Silver Spring,MD,20903
106,2014-05-01,2014-05-31,9662,Roots Olney LLC,Olney,MD,20832
196,2015-01-01,2015-01-31,15227,chevy chase supermarket,Chevy Chase,MD,20815
1068,2012-07-01,2012-09-30,2589,Silver Diner Rockville LLC,Rockville,MD,20852
701,2014-12-01,2014-12-31,58,C C Gourmet Deli Inc,Chevy Chase,MD,20815
1343,2016-06-01,2016-06-30,56,"E&C Mid-Atlantic Ventures, LLC",Germantown,MD,20876
224,2012-07-29,2012-08-25,4494,The Childrens Place Retail Stores Inc,,NJ,7094
1236,2015-05-01,2015-07-31,162,Downtown Beer and Wine Corp,Rockville,MD,20848
416,2012-05-01,2012-05-31,2893,BRASAS INC,Silver Spring,MD,20906
46,2013-06-01,2013-06-30,775,LEBANESE TAVERNA BETHESDA INC,Bethesda,MD,20814
232,2016-05-01,2016-05-31,132,Sam Kuglers House Of Linen LTD,Silver Spring,MD,20904
1138,2014-07-01,2014-07-31,93,Amici Miei Ristorante,Potomac,MD,20854
823,2015-01-01,2015-12-31,3118,"JYL, Inc.",Silver Spring,MD,20906
1097,2015-05-01,2015-05-31,906,Bradley Variety LLC,Bethesda,MD,20814
713,2013-03-01,2013-03-31,178,DS Metro Inc,Rockville,MD,20850
199,2014-02-01,2014-02-28,3965,Potomac Conference Corporation of SDA,,VA,24401
796,2013-01-01,2013-01-31,2702,BUY BUY BABY INC,,NJ,7083
487,2013-07-01,2013-07-31,84,Dale Music Co.,Silver Spring,MD,20910
455,2016-02-01,2016-07-31,12895,Zen Asian Grill & Sushi,Burtonsville,MD,20866
596,2015-11-01,2015-11-30,1761,"LONG BRANCH BEER AND WINE, INC.",Silver Spring,MD,20901
347,2012-03-31,2012-05-24,1304,Meridian Market and Wine(EMC at Meridian Inc.),Rockville,MD,20852
378,2014-08-01,2014-08-31,2902,"Riverfalls Seafood Market, Inc.",Potomac,MD,20854
1216,2015-09-01,2015-09-30,49,Twu Enterprise Inc,Gaithersburg,MD,20877
517,2013-08-01,2013-08-31,1528,BSBB LTD,Silver Spring,MD,20901
1264,2015-04-01,2015-04-30,1037,FAMILY SHOES INC,Takoma Park,MD,20912
178,2012-10-01,2012-10-31,43205,FOOD LION LLC,,NC,28025
506,2012-01-01,2012-03-31,1473,"MPT Service Inc, t/a/ Cherry Hill Sunoco",Silver Spring,MD,20904
132,2014-06-01,2014-07-31,1674,BROOKS BROTHERS #6031,,CT,6083
530,2015-08-01,2015-08-31,1347,LA CASITA PARTNERS CORPORATION,Germantown,MD,20874
427,2012-06-01,2012-06-30,187,"Tropicanas Restaurant, Inc",Takoma Park,MD,20912
191,2016-09-01,2016-09-30,299,GameStop,,TX,76051
416,2015-09-01,2015-09-30,1948,BRASAS INC,Silver Spring,MD,20906
62,2014-02-01,2014-02-28,843,The Party Company,,VA,20109
646,2016-02-01,2016-02-29,2249,J.M. Hollister LLC,,OH,43054
245,2013-06-02,2013-07-06,1437,"Grace Holmes, Inc.",,NY,10003
250,2012-05-01,2012-05-31,2068,"Advance Stores Company, Incorporated",,VA,24012
378,2014-06-01,2014-06-30,3908,"Riverfalls Seafood Market, Inc.",Potomac,MD,20854
92,2014-11-01,2014-11-30,305,Zoes Maryland LLC,,TX,75024
682,2015-12-25,2016-01-25,52,priya food and spices,Germantown,MD,20874
156,2014-03-01,2014-03-31,1733,"CLAIRE'S BOUTIQUES, INC.",,FL,33027
207,2014-07-30,2014-09-02,1837,Yogiraj Corporation,Germantown,MD,20876
218,2014-04-06,2014-05-03,8487,"Michaels Stores, Inc.",,TX,75063
379,2015-01-01,2015-01-31,308,PETER'S GRILL,Rockville,MD,20850
178,2014-11-01,2014-11-30,54305,FOOD LION LLC,,NC,28025
825,2014-06-01,2014-06-30,82,ALICIA RESTAURANT INC,Rockville,MD,20850
1069,2014-01-01,2014-03-31,212,Silver Diner Development Inc,Rockville,MD,20852
141,2013-12-02,2013-12-29,3739,"Williams-Sonoma Stores, Inc.",,CA,94109
127,2014-01-01,2014-01-31,271,Spencer Gifts LLC,,NJ,8234
331,2012-01-01,2011-01-31,1906,VIE DE FRANCE YAMAZAKI. INC,,VA,22182
213,2012-07-31,2012-11-30,84,Daddy & Son Camiceria Italiana,Bethesda,MD,20814
142,2014-05-01,2014-05-31,1498,"MODELL'S MARYLAND II, INC.",,NY,10018
100,2016-05-01,2016-05-31,1942,"Nespresso USA, Inc",,NY,10017
1278,2015-11-01,2015-11-30,183,New York Deli Inc,Rockville,MD,20850
354,2016-09-01,2016-09-30,3319,CalTort Development Corporation,Rockville,MD,20850
262,2012-01-01,2012-01-31,801,"JMD Enterprises, INC",Silver Spring,MD,20901
351,2013-05-01,2013-05-31,4032,"Don Pollo of Bethesda, Inc.",Chevy Chase,MD,20815
103,2016-05-01,2016-05-31,67248,MONTGOMERY COUNTY DEPT. OF LIQUOR CONTROL,Gaithersburg,MD,20878
191,2013-07-01,2013-07-31,107,GameStop,,TX,76051
517,2013-03-01,2013-03-31,1855,BSBB LTD,Silver Spring,MD,20901
329,2015-02-01,2015-02-28,1304,WHEATON PARK BEER AND WINE,Silver Spring,MD,20902
354,2015-08-01,2015-08-31,1236,CalTort Development Corporation,Rockville,MD,20850
714,2012-08-01,2012-11-30,1465,"MICHAEL'S NOODLES, INC",Rockville,MD,20850
279,2013-03-01,2013-03-31,236,"Olney GT, LLC",Olney,MD,20832
797,2012-10-31,2012-11-30,2698,whiteoak convenience store,Silver Spring,MD,20904
254,2015-08-01,2015-08-31,2547,Micro Center Sales Corporation,,OH,43026
165,2015-04-05,2015-05-02,2308,The Container Store,,TX,75019
1208,2015-05-01,2015-06-30,3528,Hunan cafe Maryland inc,Gaithersburg,MD,20879
1203,2015-08-01,2015-09-01,227,Ismet's Market LLC,Germantown,MD,20874
669,2012-01-01,2012-08-31,827,"Gaithersburg Mapp, LLC",Germantown,MD,20874
182,2012-07-25,2012-08-19,823,PHO & GRILL,Gaithersburg,MD,20882
825,2012-06-01,2012-06-30,61,ALICIA RESTAURANT INC,Rockville,MD,20850
876,2015-12-01,2015-12-31,424,"AREEHANT, LLC",Gaithersburg,MD,20879
304,2013-12-01,2014-02-28,544,Posz Inc t/a Bradley dRUGS,Bethesda,MD,20814
248,2012-03-05,2012-03-05,22,"Equinox Bethesda, Inc.",Bethesda,MD,20814
496,2013-06-01,2013-06-30,208,SMSI INC.,Gaithersburg,MD,20877
415,2012-03-28,2012-06-18,10524,11-Jul,Gaithersburg,MD,20877
259,2013-08-01,2013-08-31,235,Rainbow Sushi Inc,Germantown,MD,20874
1202,2015-08-01,2015-08-31,1296,"Cityburger, Inc.",Chevy Chase,MD,20815
245,2012-01-01,2012-01-28,349,"Grace Holmes, Inc.",,NY,10003
252,2016-06-01,2016-06-30,7454,Takoma Park Silver Spring Cooperative Inc.,Takoma Park,MD,20912
593,2012-04-01,2012-04-30,421,"Market Place Parklawn, Inc",Rockville,MD,20852
222,2013-03-01,2013-03-31,166,"Moon, Soon Sil",Bethesda,MD,20814
795,2012-04-01,2012-06-30,2396,Dragon City,Silver Spring,MD,20910
175,2016-02-01,2016-02-28,869,"kaziland food, inc.",Gaithersburg,MD,20877
523,2016-09-01,2016-09-30,59778,"FOR MY CHILDREN, INC.",Gaithersburg,MD,20877
224,2012-05-27,2012-06-30,5454,The Childrens Place Retail Stores Inc,,NJ,7094
526,2016-02-01,2016-02-29,3286,"GALLARDO REYES, INC.",Gaithersburg,MD,20877
250,2015-11-01,2015-12-31,399,"Advance Stores Company, Incorporated",,VA,24012
1155,2015-04-01,2015-04-30,245,Tiffany Thomas dba Chick-fil-A at Montrose Crossing FSU,,GA,30349
290,2012-06-01,2012-06-30,1843,laotao,Gaithersburg,MD,20878
485,2014-12-28,2015-01-31,332,HANCOCK FABRICS,,MS,38824
52,2012-05-31,2012-07-04,5187,COUNTRY BOY MARKET,Silver Spring,MD,20902
803,2012-04-30,2012-06-30,512,"EJY, INC.",Bethesda,MD,20814
396,2016-04-01,2016-04-30,29963,"Green Castle International, Inc.",Silver Spring,MD,20901
401,2015-10-01,2015-10-31,1424,CKCE Inc,Rockville,MD,20852
641,2012-11-01,2012-11-30,105,KS Potomac Inc,Rockville,MD,20852
206,2015-12-01,2015-12-31,1908,khunya Inc./7-Eleven,Silver Spring,MD,20904
60,2013-05-01,2013-05-31,1917,Bradley Food & Beverage Inc,Bethesda,MD,20814
854,2013-03-01,2013-03-31,125,THE SHERWIN WILLIAMS COMPANY,,OH,44115
622,2013-12-01,2013-12-31,59,Comfort One Shoes L-34,Rockville,MD,20852
323,2013-06-01,2013-07-31,316,KYSCO INC,Bethesda,MD,20817
45,2014-06-01,2014-07-31,3005,"K&G Men's Company, Inc.",,TX,77072
266,2016-01-01,2016-01-31,1113,Carter's Retail Inc.,,CT,30326
367,2013-09-01,2013-09-30,17,"Revolution Cycles, Inc.",Rockville,MD,20852
236,2014-10-01,2014-11-30,86,The Walking Company,Bethesda,MD,20817
1132,2013-10-01,2013-10-31,2027,SHUN LEE PALACE INC,Potomac,MD,20854
93,2012-11-01,2012-11-30,5724,SAR WHITE MARSH FOOD INC,,MD,21236
367,2013-05-01,2013-05-31,13,"Revolution Cycles, Inc.",Rockville,MD,20852
354,2016-08-01,2016-08-31,2384,CalTort Development Corporation,Rockville,MD,20850
985,2013-01-01,2013-12-31,1294,"Atlantic Guns,Inc.",Silver Spring,MD,20910
481,2013-09-01,2013-09-30,359,CZC Inc,Silver Spring,MD,20910
720,2012-08-01,2012-08-31,392,"Stride Rite Children's Group, LLC",,MA,2420
599,2016-08-01,2016-08-31,1733,Cheese & Wine Shoppe,Silver Spring,MD,20902
93,2014-03-01,2014-03-31,3569,SAR WHITE MARSH FOOD INC,,MD,21236
875,2015-01-01,2015-03-31,3127,Russian Gourmet LLC,,VA,22101
1073,2014-08-01,2014-09-30,883,PARK AND PARK NORTHGATE LLC,Silver Spring,MD,20906
1135,2015-02-01,2015-02-28,567,"San Marino, Inc. t/a Milanos Pizza & Pasta",,MD,21236
1166,2012-01-01,2013-12-31,5061,"TOMMY BAHAMA R&R HOLDINGS, INC.",,WA,98109
1155,2015-09-01,2015-09-30,428,Tiffany Thomas dba Chick-fil-A at Montrose Crossing FSU,,GA,30349
500,2012-08-01,2012-08-31,5535,7-eleven/11713A/2541,Silver Spring,MD,20906
258,2016-07-01,2016-07-31,312,Ki and Ko Choi Inc,Germantown,MD,20874
829,2016-02-01,2016-02-29,26,"PETROSTATIONS, INC",Kensington,MD,20895
291,2014-03-01,2014-03-31,851,"Guest Services, Inc.",,VA,22031
107,2014-11-01,2014-11-30,669,THAI FARM RESTAURANT,Rockville,MD,20850
155,2014-07-01,2014-07-31,5751,"HomeGoods, Inc",,MA,1701
417,2013-05-01,2013-05-31,3354,ASADO MD,Rockville,MD,20852
523,2015-07-01,2015-07-31,53117,"FOR MY CHILDREN, INC.",Gaithersburg,MD,20877
312,2015-04-01,2015-04-30,5038,Strosniniders Hardware,Bethesda,MD,20814
498,2014-12-01,2014-12-31,3841,"P.N.ENTERPRISES,LLC",Boyds,MD,20841
303,2013-05-01,2013-05-31,1829,Deb Shops SDE LLC,,PA,19114
1058,2013-10-01,2013-10-31,1949,RALS KC MD LLC,,VA,20170
201,2014-07-20,2014-08-16,2174,"Petco Animal Supplies Stores, Inc.",,CA,92121
485,2011-06-29,2014-07-26,292,HANCOCK FABRICS,,MS,38824
273,2012-09-01,2012-09-30,83,Germantown GT LLC,Germantown,MD,20874
100,2016-02-01,2016-02-29,1903,"Nespresso USA, Inc",,NY,10017
1252,2016-01-01,2016-06-30,1197,Manalco LLC,Silver Spring,MD,20902
347,2012-02-01,2012-02-29,1144,Meridian Market and Wine(EMC at Meridian Inc.),Rockville,MD,20852
889,2014-01-01,2014-05-31,531,TRI PETRO LLC,Silver Spring,MD,20910
204,2014-05-01,2014-05-31,8528,Eckerd Corporation,,PA,17319
293,2016-02-28,2016-03-27,562,SYPHANY LLC,Silver Spring,MD,20906
740,2014-03-01,2014-03-31,2639,cnp holdings inc/7-eleven20096-B,Silver Spring,MD,20906
74,2012-02-01,2012-02-29,22526,"Bloomingdale's, Inc.",,OH,45202
1129,2014-05-01,2014-05-31,1715,Dick's Sporting Goods Inc,,PA,15108
33,2012-03-22,2012-04-21,466,A&H Seafood Market Partners LLC,Bethesda,MD,20814
447,2015-11-01,2015-11-30,811,Golden World Inc,Bethesda,MD,20814
199,2015-10-01,2015-10-31,4826,Potomac Conference Corporation of SDA,,VA,24401
186,2015-03-01,2015-03-31,3662,subwaywhiteoak,Silver Spring,MD,20904
243,2012-07-01,2012-08-31,1658,Aspen Hill Sub Shop,Silver Spring,MD,20906
990,2015-01-01,2015-12-31,1485,Manho Corporation,Gaithersburg,MD,20878
514,2014-12-01,2014-12-31,459,E & C Enterprises MD709,,VA,22192
598,2013-05-23,2013-07-22,2586,snk corporation,Germantown,MD,20874
954,2014-08-01,2014-08-31,539,China Master Inc,Rockville,MD,20850
672,2014-10-01,2014-12-31,3194,"Mid-Atlantic Petroleum Properties, LLC",Germantown,MD,20874
435,2016-07-01,2016-07-31,325,"DALISSON,LLC",Silver Spring,MD,20910
53,2013-09-01,2013-09-30,525,"WAA Rockville, LLC",Rockville,MD,20850
401,2015-11-01,2015-11-30,1297,CKCE Inc,Rockville,MD,20852
1160,2015-10-01,2015-10-31,158,BONO Inc,Bethesda,MD,20817
1227,2015-05-01,2015-05-31,125,SONA INTERNATIONAL INC,Silver Spring,MD,20910
218,2013-08-04,2013-08-31,7982,"Michaels Stores, Inc.",,TX,75063
647,2012-01-01,2012-06-30,1851,Tropical Lagoon Aquarium,Silver Spring,MD,20910
430,2012-04-01,2012-04-30,249,OPH II Inc,Rockville,MD,20852
252,2014-08-01,2014-08-31,4572,Takoma Park Silver Spring Cooperative Inc.,Takoma Park,MD,20912
182,2014-05-01,2014-05-31,1149,PHO & GRILL,Gaithersburg,MD,20882
191,2014-12-01,2014-12-31,1771,GameStop,,TX,76051
515,2012-05-01,2012-05-31,115,E & C Enterprises MD087,,VA,22192
351,2015-04-01,2015-04-30,4865,"Don Pollo of Bethesda, Inc.",Chevy Chase,MD,20815
92,2016-08-01,2016-08-31,185,Zoes Maryland LLC,,TX,75024
268,2014-08-01,2014-08-31,45,CHEVY CHASE CITGO INC.,Chevy Chase,MD,20815
1211,2016-04-01,2016-08-31,2721,"SUGARTOWN WORLDWIDE, LLC",,PA,19406
46,2015-04-01,2015-04-30,124,LEBANESE TAVERNA BETHESDA INC,Bethesda,MD,20814
290,2013-09-01,2013-09-30,1952,laotao,Gaithersburg,MD,20878
25,2016-01-01,2016-02-29,2957,"Springbrook International, Inc.",Silver Spring,MD,20906
841,2015-04-01,2015-05-31,2805,"Pier 1 Imports (U.S.), Inc",,TX,76102
103,2015-03-01,2015-03-31,63049,MONTGOMERY COUNTY DEPT. OF LIQUOR CONTROL,Gaithersburg,MD,20878
448,2016-06-01,2016-06-30,1974,MARYVALE MARKET INC,Rockville,MD,20850
423,2012-05-01,2012-05-31,37,Ballet Petite,Bethesda,MD,20816
249,2015-05-31,2015-07-04,447,"Madewell, Inc.",,NY,10003
745,2012-03-31,2012-05-24,635,CWL RESTAURANT INC,Silver Spring,MD,20902
369,2014-12-28,2015-01-24,11713,Weis Markets Inc,,PA,17801
140,2013-03-01,2013-03-31,13118,"BATH & BODY WORKS, LLC.",,OH,43230
935,2012-11-30,2013-03-31,3128,SKO Corp,Bethesda,MD,20814
66,2013-01-01,2013-02-28,243,"Showcase of Tropical Fish, Inc.",Silver Spring,MD,20902
249,2014-02-02,2014-03-01,277,"Madewell, Inc.",,NY,10003
913,2014-05-01,2014-06-30,2153,Zumiez Inc,Gaithersburg,MD,20877
476,2012-07-01,2012-07-31,381,Monlee Corporation,Silver Spring,MD,20902
1330,2016-07-01,2016-07-31,644,121 FOOD & SERVICE INC,Rockville,MD,20853
1295,2015-12-01,2015-12-31,47,E & C Enterprises Inc.,Bethesda,MD,20816
589,2015-09-01,2015-09-30,22367,"Kohl's Department Stores, Inc.",,WI,53051
300,2015-07-19,2015-08-31,3245,Phuc inc (7-eleven ),Rockville,MD,20850
1319,2016-07-01,2016-07-31,87,"Twinbrook Gas Station, LLC",Rockville,MD,20852
257,2014-07-27,2014-08-23,150802,"Maryland CVS Pharmacy, L.L.C.",,RI,2895
46,2015-12-01,2015-12-31,184,LEBANESE TAVERNA BETHESDA INC,Bethesda,MD,20814
1263,2015-01-01,2015-04-30,483,RYANALEX INC,Silver Spring,MD,20910
656,2012-01-01,2012-02-29,2055,"Banners of Lakeforest, LLC",Gaithersburg,MD,20877
176,2016-07-01,2016-07-31,183,"caspian kabob, inc.",Germantown,MD,20876
452,2013-09-02,2013-09-30,511,"Hessed Deli, Inc. (TS Grill)",Silver Spring,MD,20910
163,2015-02-01,2015-02-28,1326,AE Outfitters Retail Co.,,PA,15203
197,2012-10-28,2012-11-24,327,RED DOOR SALONS INC,,AZ,85034
770,2012-01-01,2012-12-31,816,DIAMOND DRUGS INC,Gaithersburg,MD,20877
530,2012-11-01,2012-11-30,1144,LA CASITA PARTNERS CORPORATION,Germantown,MD,20874
60,2014-09-01,2014-09-30,1799,Bradley Food & Beverage Inc,Bethesda,MD,20814
202,2012-10-01,2012-10-31,477,Jill Acquisition LLC,,MA,2169
850,2015-04-01,2015-04-30,22,Kensington Pharmacy,Kensington,MD,20895
1236,2015-12-01,2015-12-31,55,Downtown Beer and Wine Corp,Rockville,MD,20848
571,2012-09-01,2012-09-30,155,Chong's Corporation,,VA,20151
404,2015-07-01,2015-12-31,1381,"HBJ, INC",Gaithersburg,MD,20879
97,2013-08-01,2013-08-31,598,Bethesda Bagels,Bethesda,MD,20814
527,2014-05-01,2014-05-31,342,"GUAPO'S BETHESDA, INC.",Bethesda,MD,20814
422,2016-03-01,2016-03-31,11273,"Organic Foods Express, Inc",Rockville,MD,20852
943,2012-10-01,2012-10-31,1601,"Express Fashion Operations, LLC",,OH,43230
243,2012-03-01,2012-03-31,1124,Aspen Hill Sub Shop,Silver Spring,MD,20906
133,2013-04-01,2013-04-30,8,"TNT Auto Parts, Inc.",Silver Spring,MD,20910
713,2013-12-01,2013-12-31,127,DS Metro Inc,Rockville,MD,20850
236,2015-12-01,2015-12-31,52,The Walking Company,Bethesda,MD,20817
53,2013-04-01,2013-04-30,747,"WAA Rockville, LLC",Rockville,MD,20850
810,2014-10-01,2014-12-31,3145,THAI CUISINE 2005 INC,Olney,MD,20832
16,2015-11-01,2015-11-30,19995,"H&M, Hennes & Mauritz LP",,NJ,7031
486,2015-01-01,2015-01-31,2564,11-Jul,Montgomery Village,MD,20886
1088,2014-07-01,2014-12-31,758,CHIMYKE CORP.,Silver Spring,MD,20904
390,2013-01-01,2013-01-31,1317,Party City - Wheaton,Silver Spring,MD,20902
515,2012-09-01,2012-09-30,91,E & C Enterprises MD087,,VA,22192
33,2016-08-21,2016-09-20,867,A&H Seafood Market Partners LLC,Bethesda,MD,20814
111,2016-05-01,2016-05-31,1077016,"Giant of Maryland, LLC",,PA,17013
93,2013-07-01,2013-07-31,4737,SAR WHITE MARSH FOOD INC,,MD,21236
325,2013-07-01,2013-07-31,187,Marchones Deli Inc.,Silver Spring,MD,20902
20,2013-10-01,2013-10-13,1373,"FASHION GALLERY, INC.",,NY,11207
297,2016-01-01,2016-01-31,21723,"Germantown Lotte, LLC",Germantown,MD,20874
318,2012-02-01,2012-02-29,114,Clover Elm Street LLC,,DC,20016
101,2012-07-25,2013-01-28,367,Surrey Central Inc.,Germantown,MD,20874
